name,address,city,lat,long,company,connector,power_supply,charging_speed,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
מגדלי אלון תל אביב,יגאל אלון 96,תל אביב,32.068598,34.793808,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
